D:\Anaconda3\envs\pytorch-minist\python.exe D:/Projects/pytorch-minist/minist.py
using cuda...

Test set: Average loss: 2.3060, Accuracy: 1028/10000 (10.28%)
Train Epoch: 6 (39%)	Loss: 0.020116
Train Epoch: 6 (41%)	Loss: 0.037662
Train Epoch: 6 (42%)	Loss: 0.009306
Train Epoch: 6 (43%)	Loss: 0.031664
Train Epoch: 6 (44%)	Loss: 0.021287
Train Epoch: 6 (45%)	Loss: 0.003810
Train Epoch: 6 (46%)	Loss: 0.006663
Train Epoch: 6 (47%)	Loss: 0.039157
Train Epoch: 6 (48%)	Loss: 0.083910
Train Epoch: 6 (49%)	Loss: 0.006533
Train Epoch: 6 (50%)	Loss: 0.049914
Train Epoch: 6 (51%)	Loss: 0.025085
Train Epoch: 6 (52%)	Loss: 0.199674
Train Epoch: 6 (53%)	Loss: 0.006409
Train Epoch: 6 (54%)	Loss: 0.016704
Train Epoch: 6 (55%)	Loss: 0.014268
Train Epoch: 6 (57%)	Loss: 0.021100
Train Epoch: 6 (58%)	Loss: 0.002853
Train Epoch: 6 (59%)	Loss: 0.067475
Train Epoch: 6 (60%)	Loss: 0.020272
Train Epoch: 6 (61%)	Loss: 0.042059
Train Epoch: 6 (62%)	Loss: 0.021564
Train Epoch: 6 (63%)	Loss: 0.027764
Train Epoch: 6 (64%)	Loss: 0.030302
Train Epoch: 6 (65%)	Loss: 0.034086
